tcp.time_delta,tcp.len,mqtt.dupflag,mqtt.retain,tcp_FIN,tcp_PSH,mqtt.qos,mqtt_len_log,mqtt.payload_entropy,mqtt.topic.len,clientid,label
0.052029000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.051168000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050763000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.051148000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050845000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050726000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050454000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050680000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050483000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050418000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050663000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050635000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050687000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.051441000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050960000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050892000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050894000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050538000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050781000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.051015000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050523000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050776000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050695000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050853000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050849000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050780000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.051004000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050931000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050572000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050924000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050890000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.051000000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
