tcp.time_delta,tcp.len,mqtt.dupflag,mqtt.retain,tcp_FIN,tcp_PSH,mqtt.qos,mqtt_len_log,mqtt.payload_entropy,mqtt.topic.len,clientid,label
9.996899000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.703647686078845,21.0,TempSensor_R1_2,0.0
4.997447000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.652137963890963,21.0,TempSensor_R1_3,0.0
3.822515000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_2,0.0
6.049099000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_1,0.0
10.791776000,74.0,0.0,0.0,0.0,1.0,1.0,4.290459441148391,4.345175521464347,20.0,DoorSensor_E2_2,0.0
3.831332000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_2,0.0
9.998808000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.6203919321449325,21.0,TempSensor_R1_1,0.0
4.998782000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.671901654332814,21.0,TempSensor_R1_3,0.0
1.175532000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_2,0.0
16.968401000,93.0,0.0,0.0,0.0,1.0,1.0,4.5217885770490405,4.797140682865923,20.0,DoorSensor_E2_1,0.0
5.865156000,74.0,0.0,0.0,0.0,1.0,1.0,4.290459441148391,4.345175521464347,20.0,DoorSensor_E2_2,0.0
7.882437000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_1,0.0
9.996981000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.659919313028632,21.0,TempSensor_R1_2,0.0
4.466725000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_2,0.0
4.998602000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.683883995636996,21.0,TempSensor_R1_3,0.0
2.684200000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.324309452719443,21.0,Meter_P3_2,0.0
4.288986000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.434888231839524,21.0,Meter_P3_1,0.0
9.999228000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.7156300273830265,21.0,TempSensor_R1_1,0.0
4.999244000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.7036476860788445,21.0,TempSensor_R1_3,0.0
2.850300000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_2,0.0
3.486541000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_1,0.0
3.412602000,72.0,0.0,0.0,0.0,1.0,1.0,4.262679877041316,4.316827716832514,20.0,DoorSensor_E2_2,0.0
2.909298000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_2,0.0
1.296060000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_2,0.0
9.999431000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.652137963890964,21.0,TempSensor_R1_2,0.0
4.998839000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.683883995636996,21.0,TempSensor_R1_3,0.0
11.130270000,93.0,0.0,0.0,0.0,1.0,1.0,4.5217885770490405,4.856842175403236,20.0,DoorSensor_E2_1,0.0
2.329836000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.277797824812466,21.0,Meter_P3_1,0.0
4.407838000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_2,0.0
9.997913000,89.0,0.0,0.0,0.0,1.0,1.0,4.477336814478207,4.615587948133794,21.0,TempSensor_R1_1,0.0
